"Comment","Designator","Footprint","LCSC"
"33","R102,R101","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","C328394"
"330","R306,R307,R308","R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","C17630"
"1.5A Polyfuse","F701","Fuse_1812_4532Metric_Pad1.30x3.40mm_HandSolder","-"
"100 1%","R301,R703","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","C17408"
"100k","R701","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","C96346"
"100n","C707,C708,C725,C712,C102,C710,C727,C719,C101,C709,C723,C703,C721","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","C2909631"
"100nF","C711","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","C2909631"
"10k","R305,R302,R303,R304","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","C17414"
"10u","C715,C724,C726,C706,C722,C720,C718","C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","C2985037"
"1M 1%","R702","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","C17514"
"1N4148","D43,D68,D105,D30,D83,D6,D35,D77,D10,D48,D103,D62,D93,D4,D63,D120,D9,D33,D31,D60,D91,D44,D110,D38,D84,D25,D53,D17,D51,D45,D59,D36,D119,D58,D47,D23,D111,D69,D126,D124,D2,D116,D99,D100,D125,D66,D19,D37,D80,D90,D61,D115,D32,D24,D28,D128,D75,D7,D113,D114,D64,D79,D107,D122,D94,D81,D74,D8,D5,D88,D21,D117,D26,D73,D82,D40,D98,D46,D56,D15,D41,D97,D67,D18,D87,D101,D112,D121,D96,D22,D78,D14,D57,D95,D13,D108,D54,D49,D16,D109,D118,D34,D106,D12,D39,D123,D76,D27,D703,D42,D71,D129,D104,D11,D89,D55,D85,D65,D92,D72,D70,D127,D52,D50,D3,D29,D20,D86","D_SOD-123","C14538"
"22uF","C717,C705,C701,C704","C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","C513771"
"330k 1%","R711","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","C17629"
"4.7n","C714","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","C1744"
"5.1k","R706,R705","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","C27834"
"6.8uH","L701","Sumida0624CDMCC","-"
"AP63203WU-7","U702","TSOT-23-6_HandSoldering","C780769"
"DTC123J","Q701","SOT-23","C2910218"
"L_Core_Ferrite","L1,L2,L702,L711","L_0805_2012Metric_Pad1.15x1.40mm_HandSolder","C139247"
"LQFP100","U501","STM32F072VBT6","C713240"
"MountingHole","HA201,HA204,HA202,HA203","ToolingHole_1.152mm_(for_JLCPCB_SMT)",
"RB060M-60TR","D701","D_SOD-123","C114257"
"TE_2-84953-0_1x20-1MP_P1.0mm_Horizontal","J203","TE_2-84953-0_1x20-1MP_P1.0mm_Horizontal","C362389"
"TYPE-C-31-M12_13","J201","TYPE-C-31-M-12","C165948"
"USBLC6-2SC6","U701","SOT-23-6","C2827654"
"WS2811","LED1,16,LED1,1","WS2811S","C3034986"
"WS2812B","LED3,11,LED3,2,LED7,5,LED2,10,LED3,6,LED2,8,LED7,2,LED1,7,LED1,2,LED4,8,LED5,11,LED1,6,LED7,7,LED4,5,LED3,7,LED7,6,LED5,14,LED6,9,LED1,10,LED5,9,LED3,17,LED5,2,LED2,14,LED1,5,LED3,16,LED3,15,LED4,11,LED2,9,LED4,14,LED3,8,LED2,4,LED7,1,LED4,18,LED3,10,LED4,4,LED1,11,LED4,1,LED2,19,LED1,4,LED3,18,LED5,1,LED3,4,LED4,6,LED4,15,LED6,8,LED5,7,LED6,18,LED6,15,LED4,2,LED7,15,LED6,12,LED6,3,LED4,10,LED5,15,LED4,13,LED4,12,LED4,16,LED7,3,LED2,18,LED5,10,LED7,18,LED7,16,LED1,9,LED4,19,LED2,17,LED7,17,LED6,19,LED5,8,LED3,19,LED7,13,LED5,19,LED2,11,LED6,4,LED5,13,LED5,16,LED6,16,LED5,12,LED6,6,LED2,16,LED6,2,LED1,12,LED6,1,LED7,9,LED5,3,LED2,7,LED3,1,LED6,17,LED6,14,LED2,13,LED4,3,LED2,5,LED3,12,LED6,13,LED7,14,LED2,1,LED1,13,LED1,3,LED3,5,LED7,12,LED4,17,LED3,14,LED5,4,LED7,8,LED5,5,LED4,9,LED2,3,LED7,10,LED4,7,LED5,17,LED2,12,LED3,13,LED6,10,LED6,5,LED2,6,LED6,11,LED1,15,LED7,11,LED3,3,LED5,6,LED1,14,LED1,8,LED6,7,LED2,15,LED3,9,LED5,18,LED2,2","SK6812MINI_3535_6028_3.2x2.8mm_Round","C5149201"